Number of Vehicles Stopped,Total Waiting Time of All Vehicles,Total CO2 Emissions Released
2,30.0,69037.72168647061
2,32.0,88640.50997236818
2,34.0,53845.799491849204
2,36.0,78341.5808515827
2,38.0,53314.75779070813
2,40.0,41728.805040265855
2,42.0,47584.00980959594
2,44.0,50102.92470756913
2,46.0,44516.82381354826
2,48.0,36937.76986480972
2,50.0,57807.41488201912
2,52.0,48188.7507314373
2,54.0,86389.03067153778
2,56.0,67279.06107218958
2,58.0,45690.21556758947
2,60.0,62064.99957919183
2,62.0,62652.92862534974
2,64.0,49354.98151548997
2,66.0,49569.01256762002
2,68.0,39398.93846502041
2,70.0,50051.788566449235
2,72.0,71006.6795436326
2,74.0,52520.591802141236
1,34.0,70286.59858030496
0,0.0,55965.64607042653
0,0.0,60101.260596949534
0,0.0,53108.072201371964
0,0.0,43372.881307634416
0,0.0,58272.59638871389
0,0.0,35660.978736674355
0,0.0,50210.57734888971
0,0.0,57057.5736264997
0,0.0,68893.68120624396
1,1.0,40323.680569397104
2,3.0,73284.70983679473
2,5.0,39883.95988508705
3,8.0,31661.16936091589
4,12.0,47707.61210061678
5,17.0,43114.843559545596
5,22.0,68895.18458178498
6,28.0,71773.06365054657
6,34.0,47214.65261521611
6,40.0,42122.963340886236
6,46.0,40335.67390581031
6,52.0,65857.29565125491
6,58.0,55741.20664611232
6,64.0,48243.041719988825
6,70.0,42049.905157687775
6,76.0,47647.70634845961
6,82.0,34809.87691574145
6,88.0,51012.64594856888
6,94.0,45700.34290050191
6,100.0,33946.466590953656
6,106.0,60312.52535416898
6,112.0,49103.89817371062
6,118.0,44596.00685477371
6,124.0,29850.844873617352
6,130.0,59250.14043076469
6,136.0,34462.271188223815
6,142.0,56148.901382528595
4,95.0,51370.66610833266
2,47.0,62613.51381992905
0,0.0,68483.94285260941
0,0.0,62578.09041471569
0,0.0,91968.06698792073
0,0.0,42187.1668180035
0,0.0,63421.18237344256
0,0.0,46458.27656770787
0,0.0,35289.05389475866
0,0.0,34118.32916683033
0,0.0,31868.8945059418
0,0.0,32859.106305939065
0,0.0,38286.02938703225
1,1.0,28932.210569095936
1,2.0,53473.30322734076
2,4.0,39709.60135625265
2,6.0,43728.39736650775
3,9.0,53949.63576736168
3,12.0,41239.703758733536
4,16.0,48356.61819977431
4,20.0,47864.970153605536
4,24.0,51861.40025750579
4,28.0,59689.895564303224
4,32.0,47326.774064586774
4,36.0,49493.27491644373
4,40.0,37049.49263690469
4,44.0,65317.42385163485
4,48.0,54190.402914961815
4,52.0,94506.83837344582
4,56.0,31753.67028554611
4,60.0,78118.01201750265
4,64.0,89189.42262236208
4,68.0,45678.70338424914
4,72.0,83283.5851934982
4,76.0,79585.90687793746
4,80.0,58310.719969461774
4,84.0,65071.100156704095
3,63.0,53672.56865389204
2,42.0,88532.76277666437
2,22.0,55645.20995743788
1,2.0,49339.08397263685
1,3.0,96592.36504584503
2,5.0,83788.33466128084
2,7.0,108564.76225922475
2,9.0,87429.26074238507
3,12.0,126016.44443785546
3,15.0,86767.74772603926
3,18.0,79986.86424698874
3,21.0,83964.59485604888
4,25.0,76203.2611675571
4,29.0,90914.77868911202
4,33.0,84280.99613882633
4,37.0,111425.02458487355
4,41.0,78105.91339011725
4,45.0,81491.39476622386
4,49.0,108863.25919317472
4,53.0,88952.20959765725
4,57.0,70827.62236130246
4,61.0,82631.39568772461
4,65.0,38143.96293746471
5,70.0,57336.36421764135
5,75.0,64809.443108614345
5,80.0,95761.07542914282
6,86.0,56908.85500784136
6,92.0,59294.615838153506
7,99.0,91108.57383309584
7,106.0,55423.16734804064
8,114.0,106733.21953590619
8,122.0,101789.47414886385
8,130.0,75131.08513006844
8,138.0,109551.99149228552
8,146.0,95986.58423853034
9,155.0,128722.56846800822
10,165.0,129969.41736229969
9,139.0,160588.38566842309
8,114.0,117031.06137697726
7,90.0,135755.83404652678
6,68.0,114109.10443857271
5,55.0,126659.26071925837
4,43.0,129634.07162790839
4,32.0,126584.97683933919
3,21.0,165977.4994914858
4,25.0,166504.80701964663
4,29.0,117085.14672657709
4,33.0,142494.00779500592
4,37.0,193386.85195349812
4,41.0,140723.701388667
4,45.0,140071.66123977472
4,49.0,143721.01972229517
4,53.0,142736.67354317056
4,57.0,199716.88774983137
4,61.0,230912.02647776814
4,65.0,150343.53398625582
4,69.0,217902.33781734342
4,73.0,226993.34007126337
4,77.0,182934.27830450548
4,81.0,200251.1854851476
4,85.0,158688.44544235093
4,89.0,226544.0594031918
4,93.0,232593.53643881207
4,97.0,179662.1135277098
4,101.0,200726.8575086794
4,105.0,218573.24037595885
4,109.0,166030.9883799021
4,113.0,239477.5147678788
5,118.0,199714.3749470487
5,123.0,237864.3823036622
5,128.0,208194.84086305398
5,133.0,165453.8009751661
5,138.0,167566.99854769398
6,144.0,147543.42520863685
6,111.0,213615.83999596158
6,78.0,227258.74727990903
6,51.0,166320.76038960417
5,24.0,232616.03674344346
5,19.0,176576.9152482143
4,17.0,208572.4646772187
3,15.0,226082.94125196763
2,12.0,222583.45320787505
2,14.0,227693.6729626579
2,16.0,242755.744770016
2,18.0,163410.48441067233
2,20.0,235625.64628712085
2,22.0,101938.59633586455
2,24.0,207604.21988251328
2,26.0,202050.0041022373
2,28.0,163694.74624686321
2,30.0,165100.56921065063
2,32.0,225643.6661747361
2,34.0,208169.95704074713
3,37.0,171291.23662087138
3,40.0,141028.9165513861
4,44.0,159835.7344921226
4,48.0,190460.21479332563
4,52.0,155491.82686316027
4,56.0,168478.31740681382
4,60.0,165357.76687487596
4,64.0,137782.9006882915
5,69.0,165424.29875422927
5,74.0,151249.45288826342
5,79.0,192000.07338858402
5,84.0,132453.8181842707
5,89.0,146016.95860069722
5,94.0,136291.55856188264
5,99.0,174330.93078635464
5,104.0,132405.3012444898
6,110.0,177021.49707255376
7,117.0,133223.61366879928
6,86.0,147548.80631723723
6,58.0,160077.0520377619
5,43.0,135965.38033315892
6,30.0,143196.77236294057
6,22.0,104907.94148350492
8,30.0,149427.97640217614
8,38.0,153165.00610933045
9,47.0,146014.27046759753
10,57.0,149180.59481561245
10,67.0,112158.84936227193
11,78.0,160956.5498200874
11,89.0,129409.43069387588
12,101.0,164800.04986993267
14,115.0,146522.68873356632
14,129.0,143036.04441021718
14,143.0,104571.2088558963
15,158.0,125326.85125459309
15,172.0,133244.11815560493
17,189.0,110997.46316036003
18,207.0,119916.57627698396
18,225.0,113360.47320986836
19,244.0,151523.9967754861
20,264.0,97322.20397509876
19,282.0,123470.0893776069
20,302.0,118350.39958275494
20,322.0,99106.0039620595
23,345.0,107922.08542068873
23,368.0,96295.88268389508
23,391.0,133770.2465527046
24,415.0,115226.01989919679
25,440.0,106765.08141829059
26,466.0,105093.63873126435
28,494.0,100343.3700325392
29,523.0,98900.71615544081
30,553.0,107281.60133061501
31,584.0,125193.50930378956
32,616.0,114903.3470893644
32,575.0,116228.82816599302
30,532.0,115368.41100187322
28,488.0,123069.21491860703
26,445.0,106005.01327309
24,402.0,119114.55971212784
22,359.0,123380.6762721343
21,363.0,143599.11562607868
19,339.0,114640.39700311286
17,314.0,132751.23435241746
15,290.0,124386.75525826516
13,264.0,145801.36432593822
13,247.0,117250.55320038478
12,229.0,163169.05403001743
12,241.0,134086.90399952544
11,222.0,108991.02925895728
10,204.0,148015.09898591638
