Number Of Vehicles Stopped - Horizontal,Total Waiting Time - Horizontal,Carbon Emissions Released - Horizontal,Number of Vehicles Predicted at Traffic Light - Horizontal,Number of Cars - Horizontal,Number of Buses - Horizontal,Number of Trucks - Horizontal,Number of Motorcycles - Horizontal,Number of Bicycles - Horizontal,Number Of Vehicles Stopped - Vertical,Total Waiting Time - Vertical,Carbon Emissions Released - Vertical,Number of Vehicles Predicted at Traffic Light - Vertical,Number of Cars - Vertical,Number of Buses - Vertical,Number of Trucks - Vertical,Number of Motorcycles - Vertical,Number of Bicycles - Vertical,Traffic Phase
0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,1
0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,1
0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,1
0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,1
0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,1
0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,1
0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,1
0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,1
0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,1
0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,1
0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,1
0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,1
0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,1
0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,1
0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,1
0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,1
0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,1
0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,1
0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,1
0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,1
0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,1
0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,1
0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,1
0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,1
0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,1
0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,1
0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,1
0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,1
0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,1
0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,1
0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,1
0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,1
0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,1
0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,1
0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,1
0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,1
0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,1
0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,1
0,0.0,4779.632919602306,1,1,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,1
0,0.0,1450.16358151824,1,1,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,1
0,0.0,4403.779471404789,1,1,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,1
0,0.0,0.0,1,1,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,1
0,0.0,6184.830501748012,1,1,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,1
0,0.0,0.0,1,1,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,1
0,0.0,2178.982666252544,1,1,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,1
0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,1
0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,1
0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,1
0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,1
0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,1
0,0.0,4438.969526554832,1,1,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,1
0,0.0,0.0,1,1,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,1
0,0.0,2620.911392712448,1,1,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,1
0,0.0,3107.990645113956,1,1,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,1
0,0.0,0.0,2,1,0,1,0,0,0,0.0,0.0,0,0,0,0,0,0,1
0,0.0,6578.893194428139,2,1,0,1,0,0,0,0.0,0.0,0,0,0,0,0,0,1
0,0.0,33769.38423352418,3,1,0,2,0,0,0,0.0,0.0,0,0,0,0,0,0,1
0,0.0,21605.902083643152,2,0,0,2,0,0,0,0.0,0.0,0,0,0,0,0,0,1
0,0.0,18706.47253506632,2,0,0,2,0,0,0,0.0,0.0,0,0,0,0,0,0,1
0,0.0,3452.8201722998892,3,0,0,2,1,0,0,0.0,0.0,0,0,0,0,0,0,1
0,0.0,13315.449771709305,3,0,0,2,1,0,0,0.0,0.0,0,0,0,0,0,0,1
0,0.0,33442.04919510451,2,0,0,1,1,0,0,0.0,0.0,0,0,0,0,0,0,1
0,0.0,11092.360299824426,2,0,0,1,1,0,0,0.0,0.0,0,0,0,0,0,0,1
0,0.0,0.0,1,0,0,0,1,0,0,0.0,0.0,0,0,0,0,0,0,1
0,0.0,3293.471528924797,1,0,0,0,1,0,0,0.0,0.0,0,0,0,0,0,0,1
0,0.0,5719.294316149498,1,0,0,0,1,0,0,0.0,0.0,0,0,0,0,0,0,1
0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,1
0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
0,0.0,0.0,0,0,0,0,0,0,0,0.0,4571.119792400939,1,1,0,0,0,0,0
0,0.0,0.0,0,0,0,0,0,0,0,0.0,1310.2234743967354,1,1,0,0,0,0,0
0,0.0,0.0,0,0,0,0,0,0,0,0.0,6871.1971619484375,2,2,0,0,0,0,0
0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,2,2,0,0,0,0,0
0,0.0,0.0,0,0,0,0,0,0,0,0.0,11012.625376706232,2,2,0,0,0,0,0
0,0.0,0.0,0,0,0,0,0,0,0,0.0,2591.6970301614874,2,2,0,0,0,0,0
0,0.0,0.0,0,0,0,0,0,0,0,0.0,5154.681989869429,2,2,0,0,0,0,0
0,0.0,0.0,0,0,0,0,0,0,0,0.0,7378.916928236075,1,1,0,0,0,0,0
0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
0,0.0,0.0,1,1,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
0,0.0,2794.080762320467,1,1,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,1
0,0.0,2873.7657498996123,1,1,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,1
0,0.0,0.0,1,1,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,1
0,0.0,6028.585420841185,1,1,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,1
0,0.0,0.0,2,1,0,1,0,0,0,0.0,0.0,0,0,0,0,0,0,1
0,0.0,2298.661965312668,2,1,0,1,0,0,0,0.0,15710.16354696287,1,0,0,1,0,0,1
0,0.0,18904.61418112239,2,0,0,2,0,0,0,0.0,17215.48653297529,1,0,0,1,0,0,1
0,0.0,6884.698008680563,2,0,0,2,0,0,0,0.0,13340.873777074105,1,0,0,1,0,0,1
0,0.0,34994.621477605615,2,0,0,2,0,0,0,0.0,14371.48943266784,1,0,0,1,0,0,1
0,0.0,0.0,2,0,0,2,0,0,0,0.0,0.0,1,0,0,1,0,0,1
0,0.0,4389.956075939181,2,0,0,2,0,0,0,0.0,15420.124523492612,1,0,0,1,0,0,1
0,0.0,27529.014555615177,1,0,0,1,0,0,0,0.0,3478.7628979742517,2,1,0,1,0,0,1
0,0.0,12810.571632780362,1,0,0,1,0,0,0,0.0,2418.439445896141,2,1,0,1,0,0,1
0,0.0,0.0,0,0,0,0,0,0,0,0.0,5291.299447861476,3,1,0,2,0,0,0
0,0.0,0.0,0,0,0,0,0,0,0,0.0,8823.236641197938,2,1,0,2,0,0,0
0,0.0,0.0,0,0,0,0,0,0,1,1.0,13723.208685975129,3,1,1,2,0,0,0
0,0.0,0.0,0,0,0,0,0,0,1,2.0,42584.823028396146,3,1,1,2,0,0,0
0,0.0,0.0,0,0,0,0,0,0,1,3.0,12460.416823247258,3,1,1,2,0,0,0
0,0.0,0.0,0,0,0,0,0,0,1,4.0,14725.597250970797,3,1,1,2,0,0,0
0,0.0,0.0,0,0,0,0,0,0,0,0.0,37441.25141236561,2,0,1,2,0,0,0
0,0.0,2310.9585622759764,1,0,0,1,0,0,0,0.0,18261.518646772976,2,0,1,1,0,0,0
0,0.0,3335.0824712662093,1,0,0,1,0,0,0,0.0,32059.932354210403,1,0,1,0,0,0,0
0,0.0,2346.799766886575,1,0,0,1,0,0,0,0.0,0.0,1,0,1,0,0,0,0
0,0.0,3501.5479224233827,1,0,0,1,0,0,0,0.0,0.0,0,0,0,0,0,0,0
0,0.0,0.0,1,0,0,1,0,0,0,0.0,0.0,0,0,0,0,0,0,0
0,0.0,1754.4028661701864,1,0,0,1,0,0,0,0.0,5701.718536562793,1,0,0,0,1,0,0
0,0.0,0.0,1,0,0,1,0,0,0,0.0,0.0,1,0,0,0,1,0,0
0,0.0,0.0,1,0,0,1,0,0,0,0.0,8472.517127858304,1,0,0,0,1,0,0
0,0.0,5135.551326459958,1,1,0,1,0,0,0,0.0,0.0,1,0,0,0,1,0,0
0,0.0,1830.449835497297,1,1,0,1,0,0,0,0.0,2728.990596054672,1,0,0,0,1,0,0
0,0.0,1988.4757785817756,1,1,0,1,0,0,0,0.0,7966.827812530713,1,0,0,0,1,0,0
1,1.0,3918.7537548548507,1,1,0,1,0,0,0,0.0,0.0,1,0,0,0,1,0,0
1,2.0,7362.8404899568895,1,1,0,1,0,0,0,0.0,4233.1734137421145,1,0,0,0,1,0,0
1,3.0,1997.6341059168021,1,1,0,1,0,0,0,0.0,0.0,0,0,0,0,0,0,1
1,4.0,1997.7678309772905,1,1,0,1,0,0,0,0.0,0.0,0,0,0,0,0,0,1
1,5.0,1997.7777777777778,0,1,0,1,0,0,0,0.0,2622.3416006650536,1,0,0,0,1,0,1
1,6.0,4420.933848199252,0,1,0,1,0,0,0,0.0,6860.905254740292,1,0,0,0,1,0,1
2,8.0,4606.027534067074,0,1,0,1,0,0,0,0.0,5529.997578687468,2,1,0,0,1,0,1
2,10.0,4619.126877427934,0,1,0,1,0,0,0,0.0,0.0,2,1,0,0,1,0,1
1,3.0,2624.622087703018,0,1,0,0,0,0,0,0.0,3269.477157556889,3,1,0,1,1,0,1
0,0.0,3192.2555837516184,0,1,0,0,0,0,0,0.0,8766.942512946409,3,1,0,1,1,0,1
0,0.0,3725.5944930201604,1,1,0,0,0,0,0,0.0,16799.194455825458,5,2,0,2,1,0,1
0,0.0,3443.4631682061877,1,1,0,0,0,0,0,0.0,30588.891079000838,5,2,0,2,1,0,1
0,0.0,0.0,0,0,0,0,0,0,0,0.0,38459.64471446963,4,2,0,2,1,0,0
0,0.0,0.0,0,0,0,0,0,0,1,1.0,31502.402033548475,4,2,0,2,1,0,0
0,0.0,0.0,0,0,0,0,0,0,1,2.0,3618.0924293669473,4,2,0,2,1,0,0
0,0.0,0.0,0,0,0,0,0,0,1,3.0,4556.075635484913,3,2,0,2,1,0,0
0,0.0,0.0,0,0,0,0,0,0,2,5.0,3843.9181861653806,2,2,0,2,1,0,0
0,0.0,0.0,0,0,0,0,0,0,2,7.0,5807.973149864461,1,2,0,2,1,0,0
0,0.0,0.0,0,0,0,0,0,0,2,4.0,11371.313086159344,1,1,0,3,0,0,0
0,0.0,0.0,0,0,0,0,0,0,1,2.0,17824.008719146426,1,1,0,3,0,0,0
0,0.0,0.0,0,0,0,0,0,0,1,1.0,12463.658284858047,1,0,0,3,0,0,0
0,0.0,0.0,0,0,0,0,0,0,0,0.0,13375.473128366688,2,0,0,3,0,0,0
0,0.0,0.0,0,0,0,0,0,0,0,0.0,18883.28549184537,2,0,0,3,0,0,0
0,0.0,0.0,0,0,0,0,0,0,0,0.0,15659.434283495913,1,0,0,2,0,0,0
0,0.0,0.0,0,0,0,0,0,0,0,0.0,20353.50670435965,2,0,0,2,0,0,0
0,0.0,0.0,0,0,0,0,0,0,0,0.0,14849.20078006775,1,0,0,1,0,0,0
0,0.0,0.0,0,0,0,0,0,0,0,0.0,17498.7948089121,1,0,0,1,0,0,0
0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
0,0.0,0.0,0,0,0,0,0,0,0,0.0,4161.953373457613,1,1,0,0,0,0,0
0,0.0,0.0,0,0,0,0,0,0,0,0.0,3245.804970862853,1,1,0,0,0,0,0
0,0.0,0.0,0,0,0,0,0,0,0,0.0,1909.7978047656486,2,2,0,0,0,0,0
0,0.0,0.0,0,0,0,0,0,0,0,0.0,7160.074812453127,2,2,0,0,0,0,0
0,0.0,0.0,0,0,0,0,0,0,0,0.0,6127.301227883541,3,3,0,0,0,0,0
0,0.0,0.0,0,0,0,0,0,0,0,0.0,10607.81543664957,3,3,0,0,0,0,0
0,0.0,0.0,0,0,0,0,0,0,0,0.0,8869.499392111215,4,3,0,1,0,0,0
0,0.0,0.0,0,0,0,0,0,0,0,0.0,4562.471576351741,3,2,0,1,0,0,0
0,0.0,0.0,0,0,0,0,0,0,0,0.0,13184.464437417028,5,2,2,1,0,0,0
0,0.0,0.0,0,0,0,0,0,0,0,0.0,28524.62720573994,4,1,2,1,0,0,0
0,0.0,4480.528368155423,1,1,0,0,0,0,0,0.0,44879.81473481099,4,1,2,1,0,0,0
0,0.0,1529.5683989867803,1,1,0,0,0,0,0,0.0,24184.003407375087,4,1,2,1,0,0,0
0,0.0,4676.257444097651,2,2,0,0,0,0,0,0.0,17894.74781366879,3,0,2,1,0,0,0
0,0.0,5483.217622427577,2,2,0,0,0,0,0,0.0,29129.274758761545,2,0,2,0,0,0,0
